Fecha;Hora;Vln a;Vln b;Vln c;I a;I b;I c;kW tot;kVAR tot;PF sign tot;S;P;Q
1/3/2023;0:15:00;3638.475342;3671.526123;3658.935303;144.055908;129.111801;144.062668;1452.157349;424.304565;95.986511;1525.524541;1464.297781;427.8517649
1/3/2023;0:30:00;3645.447266;3680.79248;3667.320557;140.91481;129.357971;141.081238;1431.665771;428.232208;95.805939;1507.415071;1444.193164;431.979517
1/3/2023;0:45:00;3643.213379;3677.58374;3664.563721;136.881775;125.419533;135.088699;1384.002319;403.443329;96.004173;1455.15754;1397.011962;407.2358579
1/3/2023;1:00:00;3647.927979;3683.004883;3672.102295;138.491287;126.906349;137.480484;1397.711548;434.566772;95.491043;1477.627373;1411.00179;438.6987595
1/3/2023;1:15:00;3650.207275;3684.619141;3672.963135;129.456985;117.065781;129.72316;1300.209473;412.348267;95.321236;1380.545324;1315.952867;417.340922
1/3/2023;1:30:00;3645.862305;3683.772705;3670.571533;132.186905;119.854515;134.091049;1332.2229;431.705963;95.129951;1415.845637;1346.893261;436.4600923
1/3/2023;1:45:00;3666.409668;3702.300781;3689.763672;130.425156;120.023544;130.849258;1314.674438;448.046448;94.654053;1405.524534;1330.385937;453.4010072
1/3/2023;2:00:00;3642.90625;3676.750977;3669.224121;128.948959;118.141762;130.152206;1307.234009;396.641541;95.69207;1381.825921;1322.297828;401.2123268
1/3/2023;2:15:00;3643.039795;3684.610596;3671.537598;129.874115;114.63002;128.369675;1285.835327;410.346313;95.266495;1367.103044;1302.391153;415.6296637
1/3/2023;2:30:00;3643.519531;3679.007324;3667.203613;127.99617;115.947083;129.685211;1284.881226;420.906128;95.030975;1368.692038;1300.681389;426.0819412
1/3/2023;2:45:00;3644.411377;3684.240234;3670.376221;124.99147;114.927292;126.167969;1256.393433;422.117737;94.792915;1342.199381;1272.309918;427.4653787
1/3/2023;3:00:00;3639.539307;3678.069092;3663.848145;123.094383;115.53891;124.886086;1252.264038;397.251892;95.31884;1330.657421;1268.367218;402.3602518
1/3/2023;3:15:00;3640.543701;3677.888672;3662.311035;124.334732;115.456116;125.079865;1256.249512;401.164215;95.260788;1335.517226;1272.224233;406.2656285
1/3/2023;3:30:00;3639.749268;3678.122559;3667.929199;125.035446;114.838654;122.51799;1243.080688;415.070923;94.852051;1327.055798;1258.739642;420.2994217
1/3/2023;3:45:00;3642.519043;3678.078125;3667.10791;123.050453;114.6689;122.187035;1235.490112;409.941437;94.911766;1318.181749;1251.109577;415.1240171
1/3/2023;4:00:00;3651.58252;3689.338379;3674.866211;122.812759;115.470428;126.430695;1259.867554;399.808899;95.315681;1339.203493;1276.47093;405.0777238
1/3/2023;4:15:00;3644.353027;3685.201172;3669.937012;126.403458;117.233978;128.712982;1283.986206;413.692108;95.181618;1365.221717;1299.440119;418.6713655
1/3/2023;4:30:00;3634.690918;3673.945557;3657.871338;125.868401;115.427933;128.596939;1279.015381;385.201202;95.75174;1352.145823;1294.703153;389.925727
1/3/2023;4:45:00;3631.724121;3667.403076;3656.052979;126.377693;114.247574;125.88681;1260.24939;401.255219;95.286751;1338.401947;1275.31973;406.053391
1/3/2023;5:00:00;3626.815918;3660.999268;3649.098633;129.5186;117.675842;128.679794;1298.890503;387.217224;95.832237;1370.301375;1313.190462;391.4801026
1/3/2023;5:15:00;3603.112305;3637.95752;3627.218994;132.579041;120.85759;131.757935;1334.47522;362.980072;96.494125;1395.468598;1346.545214;366.2630156
1/3/2023;5:30:00;3599.55249;3633.406738;3624.924561;137.630142;124.156563;133.842667;1371.35791;368.101898;96.581169;1431.899248;1382.945033;371.2121943
1/3/2023;5:45:00;3597.48877;3636.674805;3629.071777;141.098511;123.341232;140.938461;1407.400269;368.830627;96.733414;1467.906279;1419.955858;372.1212239
1/3/2023;6:00:00;3603.321045;3638.902588;3635.688965;155.570313;137.905075;148.771286;1548.595703;372.415985;97.227989;1603.573556;1559.12232;374.947648
1/3/2023;6:15:00;3596.150146;3633.893066;3626.836182;182.524902;148.805588;177.328186;1780.316284;412.384949;97.420593;1840.815299;1793.333181;415.399891
1/3/2023;6:30:00;3612.289063;3648.84082;3641.579102;190.075867;171.59549;186.595428;1935.387817;441.547211;97.494896;1992.531068;1942.616092;443.1960898
1/3/2023;6:45:00;3608.437988;3641.119385;3637.983398;188.311798;174.666031;196.024338;1963.749878;481.662659;97.121223;2028.719628;1970.317314;483.2732264
1/3/2023;7:00:00;3597.875244;3628.002686;3618.621826;197.796585;182.461929;206.58342;2061.447266;467.972839;97.518784;2121.335737;2068.700815;469.6192563
1/3/2023;7:15:00;3581.219727;3605.433105;3602.497803;197.383514;181.696472;203.801987;2037.542847;465.208832;97.491203;2096.267136;2043.676049;466.6091645
1/3/2023;7:30:00;3631.66626;3660.075195;3652.55127;208.06221;194.511154;211.846832;2169.891113;537.858826;97.062614;2241.464827;2175.624353;539.2803032
1/3/2023;7:45:00;3612.771484;3642.006592;3638.838135;204.987228;194.519135;209.340866;2144.418701;516.796936;97.216705;2210.849348;2149.314889;517.9771704
1/3/2023;8:00:00;3593.159912;3627.14624;3619.652832;210.628952;200.510361;223.572739;2218.624268;557.524414;96.984673;2293.417537;2224.263499;558.9417563
1/3/2023;8:15:00;3586.888916;3620.665039;3613.742432;216.401672;205.893265;221.556183;2253.77002;543.000244;97.218178;2322.4346;2257.828603;543.9783718
1/3/2023;8:30:00;3569.806152;3598.64209;3584.336914;216.571976;207.197342;224.049789;2254.452393;536.472168;97.283562;2321.953226;2258.878806;537.5251831
1/3/2023;8:45:00;3566.980713;3595.250977;3587.656738;218.523224;208.096725;228.08783;2278.291992;539.1745;97.312057;2346.011859;2282.952398;540.2777004
1/3/2023;9:00:00;3605.988525;3630.407471;3624.54126;229.060287;221.878525;236.980377;2406.805908;624.096313;96.798622;2490.482383;2410.752628;625.1194023
1/3/2023;9:15:00;3623.111084;3648.000244;3639.32373;223.126282;207.62207;223.46109;2294.284668;611.854065;96.623024;2379.236544;2298.890297;613.0823231
1/3/2023;9:30:00;3624.407715;3652.265869;3644.15625;233.413605;209.782806;225.661316;2343.348389;636.954712;96.498718;2434.82714;2349.576976;638.647976
1/3/2023;9:45:00;3653.518066;3678.620117;3667.904297;217.197372;209.573837;226.636948;2294.105957;670.473206;95.984703;2395.839161;2299.639103;672.090233
1/3/2023;10:00:00;3655.909912;3686.135742;3677.468018;227.798187;213.663528;229.738907;2353.866211;714.088318;95.693459;2465.43481;2359.259849;715.7246447
1/3/2023;10:15:00;3670.859863;3699.065918;3689.794922;223.77066;221.341965;232.513046;2396.687256;686.584045;96.133125;2498.116887;2401.51783;687.9680918
1/3/2023;10:30:00;3644.181641;3675.497559;3664.919922;236.314316;227.946838;250.048004;2518.698975;684.810242;96.496849;2615.466583;2523.84284;686.208984
1/3/2023;10:45:00;3641.747314;3668.098389;3661.443848;238.997543;227.111908;248.230301;2512.65918;695.335083;96.377716;2612.409419;2517.780531;696.7525904
1/3/2023;11:00:00;3648.618896;3678.647217;3671.513428;246.56279;241.882095;254.285141;2616.990234;739.336548;96.233322;2723.041271;2620.473075;740.3206262
1/3/2023;11:15:00;3649.971436;3679.942139;3669.757324;239.809998;233.711945;244.968231;2531.303467;714.677246;96.237816;2634.385153;2535.274736;715.7982578
1/3/2023;11:30:00;3637.234131;3663.767578;3655.618164;245.55368;239.07373;249.100937;2584.663086;693.229126;96.586311;2679.727529;2588.249965;694.1914346
1/3/2023;11:45:00;3638.188232;3671.485352;3662.388672;240.672318;227.296783;246.282013;2516.24707;682.154541;96.516136;2612.26923;2521.261322;683.5143543
1/3/2023;12:00:00;3649.820801;3674.864258;3661.14624;234.764664;234.097397;249.587891;2529.574219;706.134094;96.317596;2630.923323;2534.042097;707.3812131
1/3/2023;12:15:00;3649.782959;3676.612793;3659.70874;234.005981;236.185593;250.485199;2539.958496;701.024841;96.395889;2639.143444;2544.025785;702.1473665
1/3/2023;12:30:00;3654.814453;3686.621094;3678.154785;237.416367;237.550873;252.401871;2565.919922;727.830933;96.204605;2671.769874;2570.365654;729.0916716
1/3/2023;12:45:00;3666.153564;3697.415039;3689.047852;238.8116;228.936295;245.034714;2524.12915;706.523926;96.298698;2626.037598;2528.840016;707.8429488
1/3/2023;13:00:00;3652.595703;3679.590332;3667.835205;229.216461;227.40004;238.056793;2444.095215;702.382385;96.110008;2547.14033;2448.056775;703.5210638
1/3/2023;13:15:00;3648.499268;3674.367432;3670.47876;236.295898;225.732315;236.367691;2470.501221;652.741394;96.682274;2559.235814;2474.327382;653.7522147
1/3/2023;13:30:00;3662.359375;3687.328613;3680.659912;240.015396;226.664429;234.603088;2474.413818;706.591797;96.156334;2578.464836;2479.357259;708.00317
1/3/2023;13:45:00;3662.955566;3689.41626;3678.088135;235.715317;229.64444;239.974472;2489.017334;712.149658;96.142166;2593.386991;2493.338426;713.3859957
1/3/2023;14:00:00;3660.071777;3691.719971;3676.842773;223.516785;211.361023;232.910385;2354.35376;672.348755;96.155884;2454.930639;2360.560258;674.1214379
1/3/2023;14:15:00;3648.077637;3676.786621;3666.948975;222.450653;203.716431;231.028519;2304.906738;669.465881;96.031281;2407.923775;2312.360047;671.6307922
1/3/2023;14:30:00;3663.47998;3691.142334;3682.196533;224.49884;198.576004;221.449921;2263.315674;679.14093;95.780922;2371.167691;2271.126277;681.4848895
1/3/2023;14:45:00;3660.59668;3690.010254;3680.820068;212.603851;202.297394;217.43512;2216.395508;681.585999;95.582527;2325.190817;2222.476141;683.4560268
1/3/2023;15:00:00;3664.124512;3692.9104;3681.710938;206.835449;189.764252;210.263702;2125.931396;657.356201;95.537094;2233.003624;2133.346771;659.6489507
1/3/2023;15:15:00;3660.920654;3690.865967;3680.092285;211.779236;192.407181;215.156647;2172.301514;658.319092;95.701881;2277.505894;2179.615981;660.5355972
1/3/2023;15:30:00;3659.674316;3687.298828;3678.444092;206.311264;190.691971;210.115234;2122.812988;662.7229;95.45639;2231.244811;2129.865748;664.9250328
1/3/2023;15:45:00;3669.878906;3701.101563;3694.367188;205.902573;186.327301;208.562042;2102.302979;673.292358;95.235107;2215.990473;2110.400898;675.8859564
1/3/2023;16:00:00;3670.830322;3704.410156;3694.953613;206.514267;189.638519;209.992279;2132.144775;650.372253;95.649139;2236.714506;2139.398167;652.5850632
1/3/2023;16:15:00;3697.365723;3731.330566;3720.918213;193.588715;174.484619;201.156113;1988.201416;690.498718;94.465141;2115.562966;1998.469539;694.0649578
1/3/2023;16:30:00;3684.245117;3713.039063;3703.297119;191.184753;180.757446;196.501404;1986.133301;666.763245;94.800545;2103.351476;1993.988663;669.4002133
1/3/2023;16:45:00;3695.026367;3722.170654;3713.317383;192.430847;177.754074;198.120529;1988.990601;670.115845;94.766083;2108.510666;1998.152968;673.2027523
1/3/2023;17:00:00;3647.838867;3677.294434;3670.007813;191.184692;173.251785;196.851868;1963.226318;582.954712;95.86306;2057.148186;1972.0452;585.5735556
1/3/2023;17:15:00;3684.423096;3714.793945;3703.9021;193.323868;174.447815;200.331665;1991.696655;637.818359;95.235817;2102.573052;2002.402624;641.2465752
1/3/2023;17:30:00;3655.076172;3689.455566;3680.276123;189.548828;173.587219;198.059525;1962.721924;600.006653;95.631264;2062.357785;1972.258818;602.9218756
1/3/2023;17:45:00;3667.674316;3698.085693;3686.995361;188.964172;174.149887;195.515533;1960.070557;596.276367;95.671013;2058.132074;1969.035804;599.0038701
1/3/2023;18:00:00;3664.897949;3694.223633;3687.572998;202.622238;182.4879;210.367462;2096.036377;611.016174;96.004036;2192.686392;2105.067433;613.6486907
1/3/2023;18:15:00;3678.99707;3709.773682;3700.752441;196.25061;180.090622;202.725952;2051.62085;576.883118;96.266747;2140.526322;2060.615059;579.4122146
1/3/2023;18:30:00;3683.162598;3712.451172;3705.800293;211.861603;198.734055;214.227432;2233.606689;572.483582;96.868851;2312.139946;2239.743399;574.0563001
1/3/2023;18:45:00;3620.88501;3656.884033;3651.300781;231.141174;219.628616;242.187317;2463.130127;530.730347;97.756462;2524.458869;2467.821675;531.7412546
1/3/2023;19:00:00;3633.608887;3667.802002;3660.614258;237.02562;219.579315;241.028336;2495.210205;497.017395;98.073341;2549.15782;2500.044241;497.980303
1/3/2023;19:15:00;3645.281494;3685.022217;3673.376465;249.045471;224.896576;258.612396;2630.380371;511.145844;98.163757;2686.931601;2637.593007;512.5471245
1/3/2023;19:30:00;3644.857422;3679.031494;3672.676514;249.095306;228.766602;249.720901;2609.528564;527.290833;98.018974;2666.970655;2614.137273;528.2222951
1/3/2023;19:45:00;3642.709473;3675.602783;3671.365234;256.723083;234.509583;258.293762;2688.177002;535.055176;98.076126;2745.684571;2692.86106;535.9879459
1/3/2023;20:00:00;3641.400391;3678.436768;3674.106689;249.294037;234.500885;255.677521;2657.146973;510.614502;98.203217;2709.906172;2661.215038;511.3961081
1/3/2023;20:15:00;3666.299072;3699.622559;3693.539307;244.763321;234.60524;251.103683;2633.145996;546.870422;97.91066;2692.876416;2636.613072;547.5900849
1/3/2023;20:30:00;3664.671631;3697.573486;3695.473145;243.394974;225.019257;247.829193;2581.843506;526.005188;97.987106;2640.005997;2586.865474;527.0281586
1/3/2023;20:45:00;3659.211426;3695.300049;3690.658691;242.205994;222.357208;245.489792;2555.730713;524.273499;97.960114;2614.218715;2560.891634;525.3318301
1/3/2023;21:00:00;3673.700684;3710.848877;3701.788574;235.292923;217.54834;244.101044;2511.765869;540.564453;97.761635;2575.512692;2517.863317;541.876316
1/3/2023;21:15:00;3664.368652;3701.580322;3695.283203;231.552063;214.448792;237.0681;2457.291748;526.385742;97.781685;2518.528101;2462.659215;527.5352022
1/3/2023;21:30:00;3669.032959;3699.584229;3693.706543;220.065872;207.583923;230.819397;2364.536377;524.552979;97.626564;2428.066456;2370.437853;525.8622459
1/3/2023;21:45:00;3675.670654;3709.106934;3705.675781;211.4021;196.122177;215.405533;2232.981201;537.189697;97.226128;2302.858003;2238.97967;538.6325472
